Price,Close,High,Low,Open,Volume,EMA_20,EMA_50,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATRr_14
2022-03-04,16245.349609375,16456.0,16133.7998046875,16339.4501953125,456100.0,16952.958145328714,17233.26063568901,34.82510209868303,-273.8656012596184,-78.62984713439943,-195.235754125219,345.80748415248445
2022-03-07,15863.150390625,15944.599609375,15711.4501953125,15867.9501953125,585400.0,16849.166930595027,17179.53082215709,30.472915807870166,-325.9967259496043,-104.60877745950825,-221.38794849009605,359.24262200319987
2022-03-08,16013.4501953125,16028.75,15671.4501953125,15747.75,543600.0,16769.574860568122,17133.80217012397,33.967733970638825,-351.13540929631927,-103.79796864497854,-247.33744065134073,359.1038493377928
2022-03-09,16345.349609375,16418.05078125,15990.0,16078.0,462200.0,16729.172455692587,17102.882461859303,41.018251018161074,-340.35310926615057,-74.41253489184783,-265.94057437430274,364.02863018866475
2022-03-10,16594.900390625,16757.30078125,16447.900390625,16757.099609375,486400.0,16716.384639971864,17082.961596320703,45.71185953518097,-308.11958556142054,-33.743208949694235,-274.3763766117263,367.45166888054587
2022-03-11,16630.44921875,16694.400390625,16470.900390625,16528.80078125,343700.0,16708.20031414121,17065.21601288656,46.36660953504987,-276.5182620612868,-1.713508359648415,-274.8047537016384,357.16940681764976
2022-03-14,16871.30078125,16887.94921875,16606.5,16633.69921875,314700.0,16723.733691961093,17057.611493998855,50.70457434642905,-229.3949550505131,36.32783892090026,-265.72279397141335,351.76082195567477
2022-03-15,16663.0,16927.75,16555.0,16900.650390625,381600.0,16717.94953082194,17042.13653344988,47.15250332045313,-206.47738418679728,47.39632782769286,-253.87371201449014,353.26004895884085
2022-03-16,16975.349609375,16987.900390625,16837.849609375,16876.650390625,260000.0,16742.46382401747,17039.51743838812,52.523422925589855,-161.25222581993512,74.09718895564401,-235.34941477557913,351.2343590778522
2022-03-17,17287.05078125,17344.599609375,17175.75,17202.900390625,448300.0,16794.32924851581,17049.224628304273,57.19827288484585,-99.11672648469903,108.9861506327041,-208.10287711740312,352.52119057229135
2022-03-21,17117.599609375,17353.349609375,17096.400390625,17329.5,285500.0,16825.11690193097,17051.90600011097,54.08066748672609,-62.823004517096706,116.22389808024516,-179.04690259734187,345.6946211564134
2022-03-22,17315.5,17334.400390625,17006.30078125,17120.400390625,338300.0,16871.82005412802,17062.24301971446,57.026612123718564,-17.884894840004563,128.92960620586985,-146.8145010458744,344.43783460059814
2022-03-23,17245.650390625,17442.400390625,17199.599609375,17405.05078125,292100.0,16907.422943318208,17069.43546563252,55.669095388406475,11.954793701475865,127.01543579788022,-115.06064209640435,337.1780450755554
2022-03-24,17222.75,17291.75,17091.150390625,17094.94921875,290300.0,16937.454091573614,17075.4478003136,55.20510344380155,33.37041830718226,118.74484832286929,-85.37443001568703,327.42244252551575
2022-03-25,17153.0,17294.900390625,17076.55078125,17289.0,237100.0,16957.982273328507,17078.4890630464,53.73601567309958,44.20464934233678,103.66326348641904,-59.45861414408226,319.63152587190746
2022-03-28,17222.0,17235.099609375,17003.900390625,17181.849609375,253200.0,16983.126818725792,17084.116942926936,55.01145563228468,57.69352380757118,93.72171036132275,-36.028186553751574,313.31493250605695
2022-03-29,17325.30078125,17343.650390625,17235.69921875,17297.19921875,235100.0,17015.71481515667,17093.575132665097,56.926025131889666,75.84477240503838,89.49836716703197,-13.653594761993585,299.6246080859815
2022-03-30,17498.25,17522.5,17387.19921875,17468.150390625,505000.0,17061.67054704651,17109.444735305682,59.99558954324387,102.99802710498625,93.32129749358387,9.676729611402381,292.3085088476971
2022-03-31,17464.75,17559.80078125,17435.19921875,17519.19921875,281100.0,17100.059066375412,17123.378275097617,59.11680254505642,120.42581324192724,88.59926690441989,31.826546337507352,280.329441251433
2022-04-01,17670.44921875,17703.69921875,17422.69921875,17436.900390625,291800.0,17154.381938030136,17144.83203759379,62.727001589594266,149.1167421869177,93.83215667952827,55.28458550738942,280.3773383049021
2022-04-04,18053.400390625,18114.650390625,17791.400390625,17809.099609375,345500.0,17240.00274303917,17180.46216908521,68.3333913988381,200.4448655590677,116.1282240413426,84.31664151772509,292.07904070276624
2022-04-05,17957.400390625,18095.44921875,17921.55078125,18080.599609375,283500.0,17308.326328523537,17210.930334635792,65.66685397201614,230.7168156020998,117.12013926749978,113.59667633460003,283.63756904542583
2022-04-06,17807.650390625,17901.0,17779.849609375,17842.75,328800.0,17355.88100110463,17234.331121145173,61.6269969487975,239.8590349736878,101.0098869112702,138.8491480624176,276.0599413457526
2022-04-07,17639.55078125,17787.5,17623.69921875,17723.30078125,308800.0,17382.89717064228,17250.222088208106,57.36099529271451,230.87865071383203,73.62360212113151,157.25504859270052,269.4807435264131
2022-04-08,17784.349609375,17842.75,17600.55078125,17698.150390625,274400.0,17421.130736235875,17271.168265508768,59.93382434596305,232.76254505338875,60.405997168550584,172.35654788483816,267.53206318524076
2022-04-11,17674.94921875,17779.05078125,17650.94921875,17740.900390625,251700.0,17445.303925046745,17287.0028126947,57.12904102858249,222.85886934303198,40.40185716655503,182.45701217647695,257.9512294309379
2022-04-12,17530.30078125,17595.30078125,17442.349609375,17584.849609375,266000.0,17453.398863732767,17296.54390950079,53.56003151032042,201.0209703466753,14.851166536158672,186.16980381051664,256.1403994269423
2022-04-13,17475.650390625,17663.650390625,17457.400390625,17599.900390625,245100.0,17455.518056770125,17303.56769307429,52.23234809836578,177.26109273162,-7.126968863117327,184.38806159473734,252.576799467875
2022-04-18,17173.650390625,17237.75,17067.849609375,17183.44921875,376100.0,17428.673517137257,17298.47289689981,45.5175772117253,132.53456647786516,-41.48279609349777,174.01736257136292,263.6642267380268
2022-04-19,16958.650390625,17275.650390625,16824.69921875,17258.94921875,401400.0,17383.909409850377,17285.14652410472,41.4337950935432,78.83105369811528,-76.14904709859812,154.9801007967134,277.04186567638203
2022-04-20,17136.55078125,17186.900390625,16978.94921875,17045.25,286100.0,17360.351445221768,17279.319240071203,45.7694116572461,50.04877651371862,-83.94505942639583,133.99383594011445,273.5567324137833
2022-04-21,17392.599609375,17414.69921875,17215.5,17234.599609375,285200.0,17363.422698950646,17283.761607494882,51.351581945518035,47.35375046167974,-69.31206838274778,116.66581884442752,273.8847113485131
2022-04-22,17171.94921875,17315.30078125,17149.19921875,17242.75,262700.0,17345.18712940773,17279.37680793626,46.87386985133351,27.10087837148967,-71.65195237835029,98.75283074983996,271.7072598682622
2022-04-25,16953.94921875,17054.30078125,16888.69921875,17009.05078125,275700.0,17307.926376011754,17266.614941693664,42.89428098055957,-6.465911766084901,-84.1749940127399,77.709082246655,272.5317413062435
